"area","class","title","kind","fetch_status","bytes","sha256","local_file","official_url","error","retrieved_at"
"03_Database_Design\02_Books_and_Legal_Samples","SAMPLE","Database Design for Mere Mortals, 4th Edition sample","PDF","OK","2770921","6448a5b7f6cf59630b9f6210ae7e355b426c9071d1f557d0d2ee9ab3e9552cf4","03_Database_Design\02_Books_and_Legal_Samples\Database_Design_for_Mere_Mortals_4e_Sample.pdf","https://www.informit.com/content/images/9780136788041/samplepages/9780136788041_Sample.pdf","","2026-08-11T19:44:45+08:00"
"03_Database_Design\02_Books_and_Legal_Samples","INDEX_ONLY","Database Design and Relational Theory, 2nd Edition","HTML","OK","3038","32ed63159c77e21ee19ca1b9aa3213ccf0218eb59539560b132a8e68ef0e18ea","03_Database_Design\02_Books_and_Legal_Samples\Database_Design_and_Relational_Theory_2e.html","https://link.springer.com/book/10.1007/978-1-4842-5540-7","","2026-08-11T19:44:46+08:00"
"03_Database_Design\02_Books_and_Legal_Samples","INDEX_ONLY","Designing Data-Intensive Applications, 2nd Edition","HTML","FAILED","0","","","https://www.oreilly.com/library/view/designing-data-intensive-applications/9781098119058/","远程服务器返回错误: (403) 已禁止。","2026-08-11T19:44:46+08:00"
"03_Database_Design\02_Books_and_Legal_Samples","INDEX_ONLY","The Data Warehouse Toolkit, 3rd Edition","HTML","OK","246842","e218d9bcb99e380bd8f4f8d0af01eb7ff842c1947bc030993349de08f4b999dc","03_Database_Design\02_Books_and_Legal_Samples\Data_Warehouse_Toolkit_3e_Publisher.html","https://www.wiley.com/en-us/The+Data+Warehouse+Toolkit%3A+The+Definitive+Guide+to+Dimensional+Modeling%2C+3rd+Edition-p-9781118530801","","2026-08-11T19:44:47+08:00"
"03_Database_Design\02_Books_and_Legal_Samples","SAMPLE","The Data Warehouse Toolkit, 3rd Edition Chapter 1 excerpt","PDF","OK","317958","901c49befd3fe08d6a0b6feceb5c14d12828f53253324a6f6d7521d2100c1763","03_Database_Design\02_Books_and_Legal_Samples\Data_Warehouse_Toolkit_3e_Chapter_1_Excerpt.pdf","https://catalogimages.wiley.com/images/db/pdf/9781118530801.excerpt.pdf","","2026-08-11T19:44:50+08:00"
"01_UI_and_Accessibility\04_Book_Indexes","INDEX_ONLY","破译 Web UI——网页 UI 设计规范、流程与实战案例","URL","LINK_ONLY","0","","","https://www.dedao.cn/ebook/detail?id=bBVDEXGGLn7eB51b8NjVRqDoQJPMk3a8DZVWadYrXmAxE4Ov92lgzK6ZypxLqdQj","完整正文需要购买或授权访问；未下载未授权文件。","2026-08-11T23:08:38+08:00"
"01_UI_and_Accessibility\04_Book_Indexes","INDEX_ONLY","瞬间之美：Web 界面设计如何让用户动心","URL","LINK_ONLY","0","","","https://e.dangdang.com/touch/products/1900377741.html","完整正文需要购买或授权访问；未下载未授权文件。","2026-08-11T23:08:38+08:00"
"01_UI_and_Accessibility\04_Book_Indexes","INDEX_ONLY","About Face 4：交互设计精髓","URL","LINK_ONLY","0","","","https://www.broadview.com.cn/book/819","完整正文需要购买或授权访问；未下载未授权文件。","2026-08-11T23:08:38+08:00"
"01_UI_and_Accessibility\04_Book_Indexes","CURATED_SPEC","UI 图书正版获取与授权状态","MARKDOWN","OK","2233","64c12f7589eab755a410c53b0838c73c03cfd4940f7e0f72d8386d4b73010497","01_UI_and_Accessibility\04_Book_Indexes\UI_图书正版获取与授权状态.md","","","2026-08-11T23:08:38+08:00"
"01_UI_and_Accessibility\04_Book_Indexes","CURATED_SPEC","Web UI 栅格、尺寸与组件状态规范速查","MARKDOWN","OK","6528","3c250026d2744cd01bc585641c0333d5c56a3c402c5fa6a10f459b45ecd3fe59","01_UI_and_Accessibility\04_Book_Indexes\Web_UI_栅格_尺寸与组件状态规范速查.md","","","2026-08-11T23:08:38+08:00"
